,titles,Type,Processor_Name,RAM,Graphic_Processor,Operating_System,Touchscreen,Screen_Size,Screen_Resolution,Weight,MSOffice,EMMC,SSD_Capacity,HDD_Capacity,prices,links_list
948,"DELL Inspiron Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) INSPIRON 5410 2 in 1 Laptop  (14 inch, Platinum Silver, 1.5 kg, With MS Office)",2 in 1 Laptop,Core i3,8 GB,Intel Integrated UHD,Windows 11 Home,Yes,35.56 cm (14 inch),1920 x 1080 pixel,1.5 kg,Yes,NO,256 GB,NO HDD,"₹57,500",https://www.flipkart.com/dell-inspiron-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-5410-2-1-laptop/p/itmd6965481fc0fc?pid=COMG9NYD9VSYJ8AR&lid=LSTCOMG9NYD9VSYJ8ARJZHT6G&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_40_949&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&fm=organic&iid=444d3596-017e-4102-85e8-ca2a5fb0d136.COMG9NYD9VSYJ8AR.SEARCH&ppt=None&ppn=None&ssid=6lbtjodb9c0000001677668587917&qH=312f91285e048e09
949,"Lenovo ThinkPad Core i5 10th Gen - (16 GB/512 GB HDD/512 GB SSD/Windows 10 Pro) T14 Thin and Light Laptop  (14 Inch, Black, 1.55 KG)",Thin and Light Laptop,Core i5,16 GB,Intel Integrated UHD,Windows 10 Pro,Yes,35.56 cm (14 Inch),1920 x 1080 Pixel,1.55 KG,No,NO,512 GB,512 GB,"₹1,55,411",https://www.flipkart.com/lenovo-thinkpad-core-i5-10th-gen-16-gb-512-gb-hdd-512-ssd-windows-10-pro-t14-thin-light-laptop/p/itm7c9b701b715d1?pid=COMG2PZ3HVSHAKPK&lid=LSTCOMG2PZ3HVSHAKPKIYG37A&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_40_950&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&fm=organic&iid=444d3596-017e-4102-85e8-ca2a5fb0d136.COMG2PZ3HVSHAKPK.SEARCH&ppt=None&ppn=None&ssid=6lbtjodb9c0000001677668587917&qH=312f91285e048e09
950,"ASUS Pro P5 Core i5 8th Gen - (8 GB/512 GB SSD/Windows 10 Pro) Pro P5 P5440FA Thin and Light Laptop  (14 inch, Grey, 1.22 kg)",Thin and Light Laptop,Core i5,8 GB,Intel Integrated UHD 620,Windows 10 Pro,No,35.56 cm (14 inch),1920 x 1080 Pixel,1.22 kg,No,NO,512 GB,NO HDD,"₹85,990",https://www.flipkart.com/asus-pro-p5-core-i5-8th-gen-8-gb-512-gb-ssd-windows-10-pro-p5440fa-thin-light-laptop/p/itmc99084df2851f?pid=COMFVKZG5G4Y99G7&lid=LSTCOMFVKZG5G4Y99G7BZO6G9&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_40_951&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&fm=organic&iid=444d3596-017e-4102-85e8-ca2a5fb0d136.COMFVKZG5G4Y99G7.SEARCH&ppt=None&ppn=None&ssid=6lbtjodb9c0000001677668587917&qH=312f91285e048e09
951,"Lenovo IdeaPad Gaming 3 Ryzen 7 Octa Core AMD R7-5800H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) IdeaPad Gaming3 15ACH6D2 Gaming Laptop  (15.6 inch, Shadow Black, 2.25 Kg, With MS Office)",Gaming Laptop,Ryzen 7 Octa Core,8 GB,NVIDIA GeForce RTX 3050,Windows 11 Home,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,2.25 Kg,Yes,NO,512 GB,NO HDD,"₹76,990",https://www.flipkart.com/lenovo-ideapad-gaming-3-ryzen-7-octa-core-amd-r7-5800h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-gaming3-15ach6d2-laptop/p/itmd92c6762aa792?pid=COMGGMRSDDRGKFGU&lid=LSTCOMGGMRSDDRGKFGUT5XTRV&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_40_952&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&fm=organic&iid=en_InPU3p8RMowm4n8TPMq2JcTD6bHAA%2BEs0ijPnLXxAoWKkFV0flvaH32yMmmq2aOIo%2F5EHTIhD9ESOjDfMDQZ0w%3D%3D&ppt=None&ppn=None&ssid=6lbtjodb9c0000001677668587917&qH=312f91285e048e09
952,"HP Ryzen 3 Dual Core 3rd Gen - (8 GB/1 TB HDD/Windows 11 Home) 255 G8 Laptop  (15.6 inch, Black)",Laptop,Ryzen 3 Dual Core,8 GB,AMD Radeon AMD Radeon Vega 8,Windows 11 Home,No,39.62 cm (15.6 inch),1920 x 1080 pixel,nan,No,NO,NO SSD,1 TB,"₹35,990",https://www.flipkart.com/hp-ryzen-3-dual-core-3rd-gen-8-gb-1-tb-hdd-windows-11-home-255-g8-laptop/p/itmf331437e14cac?pid=COMGE8FHUJYHX4HR&lid=LSTCOMGE8FHUJYHX4HRXPCFMR&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_40_953&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&fm=organic&iid=444d3596-017e-4102-85e8-ca2a5fb0d136.COMGE8FHUJYHX4HR.SEARCH&ppt=None&ppn=None&ssid=6lbtjodb9c0000001677668587917&qH=312f91285e048e09
953,"acer Swift X Core i7 11th Gen - (16 GB/1 TB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050Ti) SFX16-51G Gaming Laptop  (16.1 Inch, Steel Gray, 1.9 Kg, With MS Office)",Gaming Laptop,Core i7,16 GB,NVIDIA GeForce RTX 3050Ti,Windows 11 Home,No,40.89 cm (16.1 Inch),1920 x 1080 Pixel,1.9 Kg,Yes,NO,1 TB,NO HDD,"₹1,14,990",https://www.flipkart.com/acer-swift-x-core-i7-11th-gen-16-gb-1-tb-ssd-windows-11-home-4-gb-graphics-nvidia-geforce-rtx-3050ti-sfx16-51g-gaming-laptop/p/itmc58d2549b8314?pid=COMGHQYYHWHEJGWJ&lid=LSTCOMGHQYYHWHEJGWJ7BYASW&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_40_954&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&fm=organic&iid=444d3596-017e-4102-85e8-ca2a5fb0d136.COMGHQYYHWHEJGWJ.SEARCH&ppt=None&ppn=None&ssid=6lbtjodb9c0000001677668587917&qH=312f91285e048e09
954,"DELL Inspiron Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) New Inspiron 15 3000 Thin and Light Laptop  (15.6 Inch, Platinum Silver, 1.8 Kg, With MS Office)",Thin and Light Laptop,Core i5,8 GB,Intel Integrated Integrated,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixels,1.8 Kg,Yes,NO,512 GB,NO HDD,"₹51,990",https://www.flipkart.com/dell-inspiron-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-new-15-3000-thin-light-laptop/p/itm86c7f95ad42ab?pid=COMGJ75HCVATAHZH&lid=LSTCOMGJ75HCVATAHZHIGVIJK&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_40_955&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&fm=organic&iid=444d3596-017e-4102-85e8-ca2a5fb0d136.COMGJ75HCVATAHZH.SEARCH&ppt=None&ppn=None&ssid=6lbtjodb9c0000001677668587917&qH=312f91285e048e09
955,"Lenovo IdeaPad Gaming 3 Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) 15ACH6 Gaming Laptop  (15.6 inch, Shadow Black, 2.25 kg)",Gaming Laptop,Ryzen 5 Hexa Core,8 GB,NVIDIA GeForce RTX 3050,Windows 11 Home,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,2.25 kg,No,NO,512 GB,NO HDD,"₹62,990",https://www.flipkart.com/lenovo-ideapad-gaming-3-ryzen-5-hexa-core-amd-r5-5600h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-15ach6-laptop/p/itmaef9651a2d565?pid=COMGBNFUWPH6F56F&lid=LSTCOMGBNFUWPH6F56FCWFV9T&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_40_956&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&fm=organic&iid=en_InPU3p8RMowm4n8TPMq2JcTD6bHAA%2BEs0ijPnLXxAoXvxrDAkB6luo45OHyE8IugM%2B9DINUXMdC5ZUot7kTExQ%3D%3D&ppt=None&ppn=None&ssid=6lbtjodb9c0000001677668587917&qH=312f91285e048e09
956,"DELL Inspiron 3000 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 3511 Thin and Light Laptop  (15.6 Inch, Carbon Black, 1.8 Kgs, With MS Office)",Thin and Light Laptop,Core i3,8 GB,Intel Integrated Intel UHD Graphics,Windows 11 Home,No,39.62 cm (15.6 Inch),1920x 1080$$Pixels pixel,1.8 Kgs,Yes,NO,512 GB,NO HDD,"₹42,800",https://www.flipkart.com/dell-inspiron-3000-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-3511-thin-light-laptop/p/itm92bd1a125df15?pid=COMGH3FH8VRWGEBP&lid=LSTCOMGH3FH8VRWGEBPOPIKEI&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_40_957&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&fm=organic&iid=444d3596-017e-4102-85e8-ca2a5fb0d136.COMGH3FH8VRWGEBP.SEARCH&ppt=None&ppn=None&ssid=6lbtjodb9c0000001677668587917&qH=312f91285e048e09
957,"ASUS ExpertBook P1 Core i5 10th Gen - (8 GB/1 TB HDD/Windows 10 Pro) ExpertBook P1 P1440FA Thin and Light Laptop  (14 inch, Black, 1.68 kg)",Thin and Light Laptop,Core i5,8 GB,Intel Integrated UHD,Windows 10 Pro,No,35.56 cm (14 inch),1366 x 768 Pixel,1.68 kg,No,NO,NO SSD,1 TB,"₹62,490",https://www.flipkart.com/asus-expertbook-p1-core-i5-10th-gen-8-gb-1-tb-hdd-windows-10-pro-p1440fa-thin-light-laptop/p/itmca1c6d649bf0e?pid=COMFVKZGNG2S4UJR&lid=LSTCOMFVKZGNG2S4UJRCUFU5V&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_40_958&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&fm=organic&iid=444d3596-017e-4102-85e8-ca2a5fb0d136.COMFVKZGNG2S4UJR.SEARCH&ppt=None&ppn=None&ssid=6lbtjodb9c0000001677668587917&qH=312f91285e048e09
