,titles,Type,Processor_Name,RAM,Graphic_Processor,Operating_System,Touchscreen,Screen_Size,Screen_Resolution,Weight,MSOffice,EMMC,SSD_Capacity,HDD_Capacity,prices,links_list
0,"Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/120 Hz) 15ACH6| 15ACH6D1| IdeaPad Gaming3 15ACH6D1 Gaming Laptop  (15.6 inch, Shadow Black, 2.25 kg)",Gaming Laptop,Ryzen 5 Hexa Core,8 GB,NVIDIA GeForce GTX 1650,Windows 11 Home,No,39.62 cm (15.6 inch),1920x1080 Pixel,2.25 kg,No,NO,512 GB,NO HDD,"₹54,830",https://www.flipkart.com/lenovo-ideapad-gaming-3-ryzen-5-hexa-core-amd-r5-5600h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-120-hz-15ach6-15ach6d1-gaming3-15ach6d1-laptop/p/itmeb72bf79e6eb4?pid=COMG8ZHDWJXZRHBW&lid=LSTCOMG8ZHDWJXZRHBWOF4RUE&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&fm=organic&iid=en_0qqd%2Bl9cinVlsHXrJu0pOBBMANDtwT%2FV2k6jV5TLp0afx%2FcBwaq%2BKh%2BFpLJj6bX9ZEBRS%2FNEoNoresmrUJkL9w%3D%3D&ppt=None&ppn=None&ssid=5i5wsve04g0000001677668559089&qH=312f91285e048e09
1,"Lenovo Legion 5 Pro Ryzen 7 Octa Core 5800H - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3060) 82JQ00JCIN|82JQ0062IN|82JQ011FIN Gaming Laptop  (16 inch, Storm Grey (top), Black (bottom), 2.45 kg, With MS Office)",Gaming Laptop,Ryzen 7 Octa Core,16 GB,NVIDIA GeForce RTX 3060,Windows 11 Home,No,40.64 cm (16 inch),2560 x 1600 Pixel,2.45 kg,Yes,NO,1 TB,NO HDD,"₹1,31,490",https://www.flipkart.com/lenovo-legion-5-pro-ryzen-7-octa-core-5800h-16-gb-1-tb-ssd-windows-11-home-6-gb-graphics-nvidia-geforce-rtx-3060-82jq00jcin-82jq0062in-82jq011fin-gaming-laptop/p/itmb0758282c84db?pid=COMG6ZFCB5CP39HX&lid=LSTCOMG6ZFCB5CP39HXUACVZD&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_2&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&fm=organic&iid=en_0qqd%2Bl9cinVlsHXrJu0pOBBMANDtwT%2FV2k6jV5TLp0Z0EL%2Bsd%2F%2BWlRZTNMR8QMQcLxrrwQN2u3aHPvxWb%2FlLog%3D%3D&ppt=None&ppn=None&ssid=5i5wsve04g0000001677668559089&qH=312f91285e048e09
2,"ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/144 Hz) FX506LHB-HN358W Gaming Laptop  (15.6 inch, Black Plastic, 2.30 kg kg)",Gaming Laptop,Core i5,8 GB,NVIDIA GeForce GTX 1650,Windows 11 Home,No,39.62 cm (15.6 inch),1920 x 1080 Pixels,2.30 kg kg,No,NO,512 GB,NO HDD,"₹49,990",https://www.flipkart.com/asus-tuf-gaming-f15-core-i5-10th-gen-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-144-hz-fx506lhb-hn358w-laptop/p/itm4d930ab779cbd?pid=COMGF9Z7JYCFBKAP&lid=LSTCOMGF9Z7JYCFBKAPXYET0O&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=s_1_3&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&fm=organic&iid=b439dfcb-306e-4822-a5aa-ac10a48d638a.COMGF9Z7JYCFBKAP.SEARCH&ppt=None&ppn=None&ssid=5i5wsve04g0000001677668559089&qH=312f91285e048e09
3,"ASUS VivoBook 15 (2022) Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515JA-EJ362WS | X515JA-EJ392WS | X515JA-EJ382WS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)",Thin and Light Laptop,Core i3,8 GB,Intel Integrated UHD,Windows 11 Home,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,1.80 kg,Yes,NO,512 GB,NO HDD,"₹32,990",https://www.flipkart.com/asus-vivobook-15-2022-core-i3-10th-gen-8-gb-512-gb-ssd-windows-11-home-x515ja-ej362ws-x515ja-ej392ws-x515ja-ej382ws-thin-light-laptop/p/itm8e0e9c901e006?pid=COMG87FFPEDAAGXW&lid=LSTCOMG87FFPEDAAGXWTMCIPI&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_4&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&fm=organic&iid=b439dfcb-306e-4822-a5aa-ac10a48d638a.COMG87FFPEDAAGXW.SEARCH&ppt=None&ppn=None&ssid=5i5wsve04g0000001677668559089&qH=312f91285e048e09
4,"HP 14s Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14s - dy2507TU Thin and Light Laptop  (14 inch, Natural Silver, 1.41 Kg, With MS Office)",Thin and Light Laptop,Core i3,8 GB,Intel Integrated UHD Graphics,Windows 11 Home,No,35.56 cm (14 inch),1920 x 1080 Pixel,1.41 Kg,Yes,NO,256 GB,NO HDD,"₹35,990",https://www.flipkart.com/hp-14s-intel-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-dy2507tu-thin-light-laptop/p/itm183e95bd1f23b?pid=COMGG63H9BFFUYVY&lid=LSTCOMGG63H9BFFUYVYFHH552&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_5&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&fm=organic&iid=b439dfcb-306e-4822-a5aa-ac10a48d638a.COMGG63H9BFFUYVY.SEARCH&ppt=None&ppn=None&ssid=5i5wsve04g0000001677668559089&qH=312f91285e048e09
5,"ASUS VivoBook 14 (2021) Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) X415MA-BV011W Thin and Light Laptop  (14 inch, Transparent Silver, 1.60 kg)",Thin and Light Laptop,Celeron Dual Core,4 GB,Intel Integrated UHD,Windows 11 Home,No,35.56 cm (14 inch),1366 x 768 Pixel,1.60 kg,No,NO,256 GB,NO HDD,"₹23,990",https://www.flipkart.com/asus-vivobook-14-2021-celeron-dual-core-4-gb-256-gb-ssd-windows-11-home-x415ma-bv011w-thin-light-laptop/p/itm8f9bebd99f5c0?pid=COMGBH774UHWUFQF&lid=LSTCOMGBH774UHWUFQFHH2XKA&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_6&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&fm=organic&iid=b439dfcb-306e-4822-a5aa-ac10a48d638a.COMGBH774UHWUFQF.SEARCH&ppt=None&ppn=None&ssid=5i5wsve04g0000001677668559089&qH=312f91285e048e09
6,"ASUS TUF Gaming A17 with 90Whr Battery Ryzen 5 Hexa Core AMD R5-4600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/144 Hz) FA706IHRB-HX041W Gaming Laptop  (17.3 Inch, Graphite Black, 2.60 Kg)",Gaming Laptop,Ryzen 5 Hexa Core,8 GB,NVIDIA GeForce GTX 1650,Windows 11 Home,No,43.94 cm (17.3 Inch),1920 x 1080 Pixels,2.60 Kg,No,NO,512 GB,NO HDD,"₹63,990",https://www.flipkart.com/asus-tuf-gaming-a17-90whr-battery-ryzen-5-hexa-core-amd-r5-4600h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-144-hz-fa706ihrb-hx041w-laptop/p/itm210385fd14c7a?pid=COMGFYQZZFRKBNWV&lid=LSTCOMGFYQZZFRKBNWVYP70VR&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_7&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&fm=organic&iid=b439dfcb-306e-4822-a5aa-ac10a48d638a.COMGFYQZZFRKBNWV.SEARCH&ppt=None&ppn=None&ssid=5i5wsve04g0000001677668559089&qH=312f91285e048e09
7,"Lenovo Lenovo IdeaPad Gaming 3 Intel Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) 15IHU6 Gaming Laptop  (15.6 Inch, Shadow Black, 2.25 Kg, With MS Office)",Gaming Laptop,Core i5,16 GB,NVIDIA GeForce RTX 3050,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,2.25 Kg,Yes,NO,512 GB,NO HDD,"₹68,990",https://www.flipkart.com/lenovo-ideapad-gaming-3-intel-core-i5-11th-gen-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-15ihu6-laptop/p/itmd7174b119daa0?pid=COMGKC6YAWGQPZZY&lid=LSTCOMGKC6YAWGQPZZYMMNQJQ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_8&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&fm=organic&iid=en_0qqd%2Bl9cinVlsHXrJu0pOBBMANDtwT%2FV2k6jV5TLp0Yh9g7FOt2TsBLhrODhINuA5nmule3WkbB9%2B%2BOCIalIEA%3D%3D&ppt=None&ppn=None&ssid=5i5wsve04g0000001677668559089&qH=312f91285e048e09
8,"HP Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home) 15s- eq2182AU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.69 Kg, With MS Office)",Thin and Light Laptop,Ryzen 5 Hexa Core,16 GB,AMD Radeon Radeon Graphics,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixels,1.69 Kg,Yes,NO,512 GB,NO HDD,"₹48,990",https://www.flipkart.com/hp-ryzen-5-hexa-core-5500u-16-gb-512-gb-ssd-windows-11-home-15s-eq2182au-thin-light-laptop/p/itm09b322c037285?pid=COMGFRHGDB9G3Z9C&lid=LSTCOMGFRHGDB9G3Z9CBGKRA6&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_9&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&fm=organic&iid=b439dfcb-306e-4822-a5aa-ac10a48d638a.COMGFRHGDB9G3Z9C.SEARCH&ppt=None&ppn=None&ssid=5i5wsve04g0000001677668559089&qH=312f91285e048e09
9,"acer Aspire 3 Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Windows 11 Home) A315-23 Laptop  (15.6 Inch, Charcoal Black, 1.9 Kg)",Laptop,Ryzen 3 Dual Core,8 GB,AMD Radeon AMD,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1200 Pixel,1.9 Kg,No,NO,256 GB,NO HDD,"₹26,990",https://www.flipkart.com/acer-aspire-3-ryzen-dual-core-3250u-8-gb-256-gb-ssd-windows-11-home-a315-23-laptop/p/itm6961e2f1ddc21?pid=COMGFY85CRF3KF5W&lid=LSTCOMGFY85CRF3KF5WFX1VHM&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_10&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&fm=organic&iid=b439dfcb-306e-4822-a5aa-ac10a48d638a.COMGFY85CRF3KF5W.SEARCH&ppt=None&ppn=None&ssid=5i5wsve04g0000001677668559089&qH=312f91285e048e09
10,"Lenovo Athlon Dual Core - (4 GB/256 GB SSD/DOS) E41-55 45-2 Laptop  (14 inch, Iron_grey)",Laptop,Athlon Dual Core,4 GB,AMD Radeon RADEON,DOS,No,35.56 cm (14 inch),HD pixel,nan,No,NO,256 GB,NO HDD,"₹18,990",https://www.flipkart.com/lenovo-athlon-dual-core-4-gb-256-gb-ssd-dos-e41-55-45-2-laptop/p/itm3a9379e2f6ee9?pid=COMGHYAS6GRKGANP&lid=LSTCOMGHYAS6GRKGANPOVKX3Q&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_11&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&fm=organic&iid=b439dfcb-306e-4822-a5aa-ac10a48d638a.COMGHYAS6GRKGANP.SEARCH&ppt=None&ppn=None&ssid=5i5wsve04g0000001677668559089&qH=312f91285e048e09
11,"Lenovo IdeaPad Gaming 3 Ryzen 5 Hexa Core AMD R5-5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) 15ACH6 Gaming Laptop  (15.6 inch, Shadow Black, 2.25 kg)",Gaming Laptop,Ryzen 5 Hexa Core,8 GB,NVIDIA GeForce RTX 3050,Windows 11 Home,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,2.25 kg,No,NO,512 GB,NO HDD,"₹62,990",https://www.flipkart.com/lenovo-ideapad-gaming-3-ryzen-5-hexa-core-amd-r5-5600h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-15ach6-laptop/p/itmaef9651a2d565?pid=COMGBNFUWPH6F56F&lid=LSTCOMGBNFUWPH6F56FCWFV9T&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_12&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&fm=organic&iid=en_0qqd%2Bl9cinVlsHXrJu0pOBBMANDtwT%2FV2k6jV5TLp0YaKiB3ALnw5gZplfGGDU1k%2BoL14CkI8z6cP%2FcxK%2BXKXg%3D%3D&ppt=None&ppn=None&ssid=5i5wsve04g0000001677668559089&qH=312f91285e048e09
12,"ASUS Vivobook 15 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ322WS Thin and Light Laptop  (15.6 Inch, Transparent Silver, 1.80 kg, With MS Office)",Thin and Light Laptop,Core i3,8 GB,Intel Integrated UHD,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,1.80 kg,Yes,NO,512 GB,NO HDD,"₹38,990",https://www.flipkart.com/asus-vivobook-15-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-x515ea-ej322ws-thin-light-laptop/p/itmc6461360364e0?pid=COMGA5TUCZAV4HGH&lid=LSTCOMGA5TUCZAV4HGHWM8PS0&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_13&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&fm=organic&iid=b439dfcb-306e-4822-a5aa-ac10a48d638a.COMGA5TUCZAV4HGH.SEARCH&ppt=None&ppn=None&ssid=5i5wsve04g0000001677668559089&qH=312f91285e048e09
13,"HP Athlon Dual Core 3050U - (8 GB/256 GB SSD/Windows 11 Home) 14s-fq0568AU Thin and Light Laptop  (14 inch, Jet Black, 1.41 Kg, With MS Office)",Thin and Light Laptop,Athlon Dual Core,8 GB,AMD Radeon AMD,Windows 11 Home,No,35.56 cm (14 inch),1366 x 768 Pixel,1.41 Kg,Yes,NO,256 GB,NO HDD,"₹25,990",https://www.flipkart.com/hp-athlon-dual-core-3050u-8-gb-256-gb-ssd-windows-11-home-14s-fq0568au-thin-light-laptop/p/itm69710a61fcfdf?pid=COMGG63HHFBZ2BZP&lid=LSTCOMGG63HHFBZ2BZPO05AZF&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_14&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&fm=organic&iid=b439dfcb-306e-4822-a5aa-ac10a48d638a.COMGG63HHFBZ2BZP.SEARCH&ppt=None&ppn=None&ssid=5i5wsve04g0000001677668559089&qH=312f91285e048e09
14,"APPLE 2020 Macbook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN63HN/A  (13.3 inch, Space Grey, 1.29 kg)",Thin and Light Laptop,M1,8 GB,NA,Mac OS Big Sur,No,33.78 cm (13.3 inch),2560 x 1600 Pixel,1.29 kg,No,NO,256 GB,NO HDD,"₹87,990",https://www.flipkart.com/apple-2020-macbook-air-m1-8-gb-256-gb-ssd-mac-os-big-sur-mgn63hn-a/p/itmde54f026889ce?pid=COMFXEKMGNHZYFH9&lid=LSTCOMFXEKMGNHZYFH9P56X45&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_15&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&fm=organic&iid=b439dfcb-306e-4822-a5aa-ac10a48d638a.COMFXEKMGNHZYFH9.SEARCH&ppt=None&ppn=None&ssid=5i5wsve04g0000001677668559089&qH=312f91285e048e09
15,"HP 14s Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14s - dy2508TU Thin and Light Laptop  (14 inch, Natural Silver, 1.41 kg, With MS Office)",Thin and Light Laptop,Core i3,8 GB,Intel Integrated UHD,Windows 11 Home,No,35.56 cm (14 inch),1920 x 1080 Pixel,1.41 kg,Yes,NO,512 GB,NO HDD,"₹39,990",https://www.flipkart.com/hp-14s-intel-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-dy2508tu-thin-light-laptop/p/itm49f4531237a12?pid=COMGGTT4VFWG3FFM&lid=LSTCOMGGTT4VFWG3FFMB7VNLU&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_16&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&fm=organic&iid=b439dfcb-306e-4822-a5aa-ac10a48d638a.COMGGTT4VFWG3FFM.SEARCH&ppt=None&ppn=None&ssid=5i5wsve04g0000001677668559089&qH=312f91285e048e09
16,"HP 15s Intel Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5007TU Thin and Light Laptop  (15.6 Inch, Natural Silver, 1.69 kg, With MS Office)",Thin and Light Laptop,Core i3,8 GB,Intel Integrated UHD,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixels,1.69 kg,Yes,NO,512 GB,NO HDD,"₹44,490",https://www.flipkart.com/hp-15s-intel-core-i3-12th-gen-8-gb-512-gb-ssd-windows-11-home-15s-fq5007tu-thin-light-laptop/p/itm559f5c880dc4a?pid=COMGKW2NSU4SPZSG&lid=LSTCOMGKW2NSU4SPZSGEOIPKZ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_17&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&fm=organic&iid=b439dfcb-306e-4822-a5aa-ac10a48d638a.COMGKW2NSU4SPZSG.SEARCH&ppt=None&ppn=None&ssid=5i5wsve04g0000001677668559089&qH=312f91285e048e09
17,"DELL Vostro Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) Vostro 3510 Thin and Light Laptop  (15.6 Inch, Carbon, 1.69 Kgs, With MS Office)",Thin and Light Laptop,Core i3,8 GB,Intel Integrated UHD,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,1.69 Kgs,Yes,NO,256 GB,1 TB,"₹39,990",https://www.flipkart.com/dell-vostro-core-i3-11th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-11-home-3510-thin-light-laptop/p/itm94af7689e9e9a?pid=COMGH53NQJHWAYP7&lid=LSTCOMGH53NQJHWAYP7R1RMWX&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_18&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&fm=organic&iid=b439dfcb-306e-4822-a5aa-ac10a48d638a.COMGH53NQJHWAYP7.SEARCH&ppt=None&ppn=None&ssid=5i5wsve04g0000001677668559089&qH=312f91285e048e09
18,"DELL Vostro Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) Vostro 3510 Thin and Light Laptop  (15.6 Inch, Black, 1.8 Kgs, With MS Office)",Thin and Light Laptop,Core i3,8 GB,Intel Integrated UHD Graphics,Windows 11 Home,No,39.62 cm (15.6 Inch),1920 x 1080 Pixels,1.8 Kgs,Yes,NO,512 GB,NO HDD,"₹35,990",https://www.flipkart.com/dell-vostro-core-i3-10th-gen-8-gb-512-gb-ssd-windows-11-home-3510-thin-light-laptop/p/itm4026bcf6107a8?pid=COMGBP5FFVGDQFXY&lid=LSTCOMGBP5FFVGDQFXYP0TQHF&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_19&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&fm=organic&iid=b439dfcb-306e-4822-a5aa-ac10a48d638a.COMGBP5FFVGDQFXY.SEARCH&ppt=None&ppn=None&ssid=5i5wsve04g0000001677668559089&qH=312f91285e048e09
19,"RedmiBook Pro Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) Thin and Light Laptop  (15.6 inch, Charcoal Gray, 1.8 kg, With MS Office)",Thin and Light Laptop,Core i5,8 GB,Intel Integrated Iris Xe,Windows 11 Home,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,1.8 kg,Yes,NO,512 GB,NO HDD,"₹39,990",https://www.flipkart.com/redmibook-pro-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-thin-light-laptop/p/itm436427e982703?pid=COMG4Z359A4Z3MFG&lid=LSTCOMG4Z359A4Z3MFGOJQLGB&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=s_1_20&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&fm=organic&iid=b439dfcb-306e-4822-a5aa-ac10a48d638a.COMG4Z359A4Z3MFG.SEARCH&ppt=None&ppn=None&ssid=5i5wsve04g0000001677668559089&qH=312f91285e048e09
20,"Lenovo IdeaPad 3 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14ITL05 Thin and Light Laptop  (14 inch, Platinum Grey, 1.5 kg, With MS Office)",Thin and Light Laptop,Core i3,8 GB,Intel Integrated UHD,Windows 11 Home,No,35.56 cm (14 inch),1920 x 1080 pixel,1.5 kg,Yes,NO,256 GB,NO HDD,"₹33,990",https://www.flipkart.com/lenovo-ideapad-3-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-14itl05-thin-light-laptop/p/itme5d4463121c64?pid=COMG9VKERHP4FACH&lid=LSTCOMG9VKERHP4FACHOL4YVH&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_21&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&fm=organic&iid=b439dfcb-306e-4822-a5aa-ac10a48d638a.COMG9VKERHP4FACH.SEARCH&ppt=None&ppn=None&ssid=5i5wsve04g0000001677668559089&qH=312f91285e048e09
21,"realme Book (Slim) Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) RMNB1001 Thin and Light Laptop  (14 inch, Real Gray, 1.38 kg)",Thin and Light Laptop,Core i3,8 GB,Intel Integrated UHD,Windows 10 Home,No,35.56 cm (14 inch),2160 x 1440 Pixel,1.38 kg,No,NO,256 GB,NO HDD,"₹46,990",https://www.flipkart.com/realme-book-slim-core-i3-11th-gen-8-gb-256-gb-ssd-windows-10-home-rmnb1001-thin-light-laptop/p/itm63278eae4e867?pid=COMG5YDPE6KHFFK6&lid=LSTCOMG5YDPE6KHFFK6TDC2UE&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_22&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&fm=organic&iid=b439dfcb-306e-4822-a5aa-ac10a48d638a.COMG5YDPE6KHFFK6.SEARCH&ppt=None&ppn=None&ssid=5i5wsve04g0000001677668559089&qH=312f91285e048e09
22,"MSI Core i9 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3060/165 Hz) Pulse GL66 12UEK-898IN Gaming Laptop  (15.6 Inch, Gray, 2.47 Kg)",Gaming Laptop,Core i9,16 GB,NVIDIA GeForce RTX 3060,Windows 11 Home,No,39.62 cm (15.6 Inch),2560 x 1440 Pixel,2.47 Kg,No,NO,1 TB,NO HDD,"₹1,19,990",https://www.flipkart.com/msi-core-i9-12th-gen-16-gb-1-tb-ssd-windows-11-home-6-gb-graphics-nvidia-geforce-rtx-3060-165-hz-pulse-gl66-12uek-898in-gaming-laptop/p/itme75f133bf4841?pid=COMGGZ23QXZZVECG&lid=LSTCOMGGZ23QXZZVECGQKCCNO&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_23&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&fm=organic&iid=b439dfcb-306e-4822-a5aa-ac10a48d638a.COMGGZ23QXZZVECG.SEARCH&ppt=None&ppn=None&ssid=5i5wsve04g0000001677668559089&qH=312f91285e048e09
23,"Infinix INBook Y1 Plus Intel Core i3 10th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL28 Thin and Light Laptop  (15.6 inch, Grey, 1.76 kg)",Thin and Light Laptop,Core i3,8 GB,Intel Integrated UHD,Windows 11 Home,No,39.62 cm (15.6 inch),1920 x 1080 PIxels,1.76 kg,No,NO,256 GB,NO HDD,"₹29,990",https://www.flipkart.com/infinix-inbook-y1-plus-intel-core-i3-10th-gen-8-gb-256-gb-ssd-windows-11-home-xl28-thin-light-laptop/p/itma467922442d47?pid=COMGMM3HYU32ZHDH&lid=LSTCOMGMM3HYU32ZHDHYH8G6S&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_24&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&fm=organic&iid=b439dfcb-306e-4822-a5aa-ac10a48d638a.COMGMM3HYU32ZHDH.SEARCH&ppt=None&ppn=None&ssid=5i5wsve04g0000001677668559089&qH=312f91285e048e09
